reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13651802,1142353726,"Premium Suite, 1 Bedroom",premium suite 1 bedroom,201030964,"Premium Suite, 2 Bedrooms",premium suite 2 bedroom,0.86
13579686,1141997033,"Deluxe Villa, 2 Bedrooms",deluxe villa 2 bedroom,230153386,"Deluxe Villa, 1 Bedroom",deluxe villa 1 bedroom,0.86
414270,41427002,Comfort Twin Room with Shared Bathroom,comfort twin room shared bathroom,201437644,"Comfort Double or Twin Room, Shared Bathroom",comfort double twin room shared bathroom,0.97
13509199,1142235342,"Premium Double Room, Balcony, Sea View",premium double room balcony sea view,230139040,"Standard Double Room, Balcony, Sea View",standard double room balcony sea view,0.97
13811116,1143372388,"Apartment, 2 Bedrooms, Courtyard View",apartment 2 bedroom courtyard view,201236737,"Apartment, 2 Bedrooms (The Courtyard 1)",apartment 2 bedroom courtyard 1,0.96
13465350,1141909592,"Room, Beachfront (Beachfront)",room beachfront beachfront,201151507,"Room, Beachfront",room beachfront,0.97
13680343,1142636596,"Standard Suite, 1 Queen Bed, Smoking",standard suite 1 queen bed smoking,201411545,"Suite, 1 Queen Bed, Smoking",suite 1 queen bed smoking,0.97
13588402,1142288503,"Cottage, 6 Bedrooms",cottage 6 bedroom,202310788,"Cottage, 6 Bedrooms, Accessible",cottage 6 bedroom accessible,0.97
249585,24958503,Basic Double Room with Private External Bathroom,basic double room private external bathroom,201031127,Double Room (External Private Bathroom),double room external private bathroom,0.98
13433616,1141880181,Pool View Room with Balcony,pool view room balcony,200939028,"Single Room, Balcony, Pool View",single room balcony pool view,0.96
13945235,1143627022,Mixed Dormitory with Shared Bathroom,mixed dormitory shared bathroom,316376581,"Shared Dormitory, Mixed Dorm, Shared Bathroom",shared dormitory mixed dormitory shared bathroom,0.98
13947584,1143649896,"Economy Room, 2 Bedrooms",economy room 2 bedroom,201206847,"Economy Room, 1 Bedroom",economy room 1 bedroom,0.86
13916250,1143584046,"Double Room, 1 King Bed (6)",double room 1 king bed 6,201722614,"Double Room, 1 King Bed",double room 1 king bed,0.97
13714924,1142135888,Japanese Style Room with Private Open-air Bath for 3 people,japanese style room private openair bath 3 person,220846754,"Japanese Western Style Room, For 3 People, Private Open-Air Bath",japanese western style room 3 person private openair bath,0.97
13433780,1142697244,"Apartment, 1 Bedroom, Balcony, River View",apartment 1 bedroom balcony river view,220240290,"Apartment, 2 Bedrooms, Balcony, River View",apartment 2 bedroom balcony river view,0.87
13617123,1142328684,"Economy Double Room, Shared Bathroom (101)",economy double room shared bathroom 101,201790643,"Economy Double Room, Shared Bathroom",economy double room shared bathroom,0.97
13579808,1142269248,Room (Standard A),room standard,201917987,Standard Room,standard room,0.96
13826434,1143408957,"Room, Two Queen Beds",room two queen bed,201037426,"Room, 2 Queen Beds",room 2 queen bed,0.98
13842445,1143463822,Villa #3 (2 bedrooms),villa 3 2 bedroom,200976401,"Villa, 3 Bedrooms",villa 3 bedroom,0.87
13601565,1142582090,"Honeymoon Apartment, 1 Bedroom, City View",honeymoon apartment 1 bedroom city view,201703521,"Honeymoon Suite, 1 Bedroom, City View",honeymoon suite 1 bedroom city view,0.96
13517574,1142493134,"Superior Double or Twin Room, City View (1)",superior double twin room city view 1,200913314,"Superior Double or Twin Room, City View",superior double twin room city view,0.98
13946827,1143637233,"Standard Suite, 1 King Bed, City View",standard suite 1 king bed city view,315656450,"Suite, 1 King Bed, City View",suite 1 king bed city view,0.96
13620107,1142332717,"Standard Japanese Style Room, 16 sqm",standard japanese style room 16 sqm,200910707,Japanese Style room (23 sqm),japanese style room 23 sqm,0.86
