reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13918755,1143585894,"Standard Double Room, Ensuite, Harbor View (2nd flr King room)",standard double room ensuite harbor view 2nd flr king room,202427548,"Double Room, Ensuite (Double Room with Sea View)",double room ensuite double room sea view,0.85
13492896,1142477164,"Apartment, Balcony (Heivlinder)",apartment balcony heivlinder,316477494,"Apartment, Balcony",apartment balcony,0.87
7166530,716653002,Superior Apartment with Sauna,superior apartment sauna,202162807,"Deluxe Apartment, Sauna (205)",deluxe apartment sauna 205,0.86
13578843,1142841335,Junior Suite (Premium),junior suite premium,321577236,Junior Suite Plus,junior suite plus,0.87
13940672,1143631604,"Accessible Room, 1 Full Bed",accessible room 1 full bed,216631705,"Room, Multiple Beds, Accessible",room multiple bed accessible,0.86
13636101,1142614684,Japanese Style Room with Shared Bath Room,japanese style room shared bath room,201180850,Japanese Style Room with Outdoor Bath,japanese style room outdoor bath,0.86
269205,26920503,Two-Bedroom Queen Suite with Sofa Bed,twobedroom queen suite sofa bed,200106493,"Suite, 1 Queen Bed with Sofa bed",suite 1 queen bed sofa bed,0.86
13944808,1143624921,Family Room (2 Bunkbed) Share Bathroom,family room 2 bunkbed share bathroom,201612055,"Twin Room, Private Bathroom (Bunk Bed)",twin room private bathroom bunk bed,0.86
13574245,1142834862,"Executive Suite, Kitchenette, Mountain View",executive suite kitchenette mountain view,202175409,"Standard Studio, Kitchenette, Mountain View",standard studio kitchenette mountain view,0.86
1080702,108070202,Superior Queen Cabin,superior queen cabin,319381282,Superior Cabin,superior cabin,0.87
13559714,1142269646,Superior View Junior Suite,superior view junior suite,200188786,Superior Suite (Junior),superior suite junior,0.85
13559714,1142269782,Executive Junior Suite,executive junior suite,200512714,Executive Suite,executive suite,0.85
13820027,1143395710,Villa Twin Room,villa twin room,55675,"Villa, 2 Bedrooms",villa 2 bedroom,0.85
9855022,985502201,Maisonette,maisonette,201331612,Family Maisonette,family maisonette,0.85
13877403,1143510996,Deluxe Apartment (Alpinia),deluxe apartment alpinia,210044216,Deluxe Apartment,deluxe apartment,0.86
13803141,1143356034,"Classic Condo, 1 Bedroom, Garden View (4 pax)",classic condo 1 bedroom garden view 4 pax,219612828,"Classic Apartment, 1 Bedroom, Terrace, Garden View",classic apartment 1 bedroom terrace garden view,0.87
13822665,1143394086,Deluxe Room (AC),deluxe room ac,200906964,Deluxe Room,deluxe room,0.86
13946058,1143631766,1 King Standard Extra Floor Space,1 king standard extra floor space,201364816,1 King Bed Standard Extra Floor Space,1 king bed standard extra floor space,0.86
13671830,1142608330,Budget Double Room with Balcony ac,budget double room balcony ac,201186844,"Standard Double Room, Balcony",standard double room balcony,0.87
13605775,1142872542,Room (Supreme King),room supreme king,200065978,Superior King Room,superior king room,0.87
13442931,1142703568,"Suite, Balcony (King Suite with Garden)",suite balcony king suite garden,217832256,"Business Suite, 1 Queen Bed, Balcony, Garden View",business suite 1 queen bed balcony garden view,0.87
13578843,1142841161,Standard Double Room ( 1 Child Until 12 years old included),standard double room 1 child until 12 years old included,321142107,Standard Double Room (1+2 children),standard double room 12 child,0.87
13476761,1142189889,"Family Suite, Park View",family suite park view,200967934,Deluxe Family Room With Park View,deluxe family room park view,0.85
13940672,1143631557,1 Full Bed Suite,1 full bed suite,314052734,1 Bedroom Suite,1 bedroom suite,0.87
13465948,1141910065,"Family Cabin, 3 Bedrooms, Fireplace, Mountain View (Manzano)",family cabin 3 bedroom fireplace mountain view manzano,201502640,"Family House, 2 Bedrooms, Fireplace, Mountain View",family house 2 bedroom fireplace mountain view,0.87
13574819,1142835725,"Junior Studio, 1 King Bed with Sofa bed, Balcony",junior studio 1 king bed sofa bed balcony,201957247,"Suite, 1 King Bed with Sofa bed, Balcony",suite 1 king bed sofa bed balcony,0.87
13899813,1143534502,City view 3 bedroom,city view 3 bedroom,202313376,"Penthouse, 3 Bedrooms, City View",penthouse 3 bedroom city view,0.85
13490652,1141927213,Apartment (cottage),apartment cottage,200899818,Apartment,apartment,0.85
13656364,1142359972,"Deluxe Room, 1 King Bed, Non Smoking (Tea Art)",deluxe room 1 king bed non smoking tea art,210902723,"Deluxe Room, 1 King Bed, Non Smoking (Chic)",deluxe room 1 king bed non smoking chic,0.86
1030222,103022206,Queen Suite with Spa Bath,queen suite spa bath,201953414,Deluxe Suite (Spa Bath),deluxe suite spa bath,0.86
13578843,1142841416,"Penthouse, Oceanfront (Suite)",penthouse oceanfront suite,201798235,"Panoramic Penthouse, Terrace, Ocean View",panoramic penthouse terrace ocean view,0.86
13708950,1142949809,"Apartment, 3 Bedrooms (Ref. 009)",apartment 3 bedroom ref 009,219903211,"Apartment, 3 Bedrooms (85/142)",apartment 3 bedroom 85142,0.87
13605775,1142872605,Junior Suite (The Level King),junior suite level king,200263013,King Junior Suite,king junior suite,0.85
13900908,1143536398,"Grand Studio, 1 Queen Bed with Sofa bed, Pool Access, Lake View",grand studio 1 queen bed sofa bed pool access lake view,314151502,"Suite, 1 King Bed with Sofa bed, Pool View",suite 1 king bed sofa bed pool view,0.87
